title,rating,price,capacity,price_per_gb,type,cache,form_factor,interface,cache_gb,capacity_gb
Crucial T700 W/Heatsink,4.0,409.99,4 TB,0.102,SSD,,M.2-2280,M.2 PCIe 5.0 X4,,4000.0
Kingston A400,4.5,,120 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,120.0
Crucial T705 W/Heatsink,4.0,259.99,2 TB,0.13,SSD,,M.2-2280,M.2 PCIe 5.0 X4,,2000.0
MSI SPATIUM M580 FROZR,,549.99,4 TB,,SSD,8192 MB,M.2-2280,M.2 PCIe 5.0 X4,8.192,4000.0
Western Digital WD_Black SN850X w/Heatsink,4.5,309.99,4 TB,0.077,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,4000.0
Intel 660p,4.5,99.99,1.02 TB,0.098,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,1020.0
Gigabyte AORUS Gen5 14000,,169.99,1 TB,0.17,SSD,2048 MB,M.2-2280,M.2 PCIe 5.0 X4,2.048,1000.0
Seagate FireCuda 530R,5.0,169.99,2 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,2000.0
Patriot P210,4.0,30.99,512 GB,0.061,SSD,,"2.5""",SATA 6.0 Gb/s,,512.0
Samsung 870 QVO,4.5,199.75,2 TB,0.1,SSD,,"2.5""",SATA 6.0 Gb/s,,2000.0
TEAMGROUP MP44,4.5,126.99,2 TB,0.063,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,2000.0
TEAMGROUP T-FORCE G70 PRO Aluminum,5.0,127.99,2 TB,0.064,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,2000.0
Seagate IronWolf Pro NAS,,109.99,4 TB,0.027,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,0.256,4000.0
ADATA Legend 710,5.0,,512 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,512.0
Western Digital WD Blue SN5000,,44.99,500 GB,0.09,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,500.0
Patriot P310,4.0,31.99,480 GB,0.067,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,480.0
Patriot P300,,102.99,2 TB,0.051,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,2000.0
Western Digital Red Plus,,139.99,6 TB,0.023,5400 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,0.256,6000.0
Sabrent Rocket 5,,322.99,2 TB,0.161,SSD,,M.2-2280,M.2 PCIe 5.0 X4,,2000.0
Sabrent Rocket 4,,99.99,1 TB,0.1,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,1000.0
Western Digital Green SN350,5.0,,960 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,960.0
Toshiba MG10 512e,5.0,359.93,20 TB,0.018,7200 RPM,512 MB,"3.5""",SATA 6.0 Gb/s,0.512,20000.0
TEAMGROUP MP44Q,5.0,224.99,4 TB,0.056,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,4000.0
Western Digital Blue SN570,4.5,76.25,500 GB,0.152,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,500.0
Corsair MP600 CORE XT,4.5,279.99,4 TB,0.07,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,4000.0
TEAMGROUP QX,5.0,90.99,2 TB,0.045,SSD,,"2.5""",SATA 6.0 Gb/s,,2000.0
Orico O7000,,115.49,2 TB,0.058,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,2000.0
Leven JS600,4.0,45.99,1 TB,0.046,SSD,,"2.5""",SATA 6.0 Gb/s,,1000.0
Western Digital Green,4.0,52.0,240 GB,0.217,SSD,,"2.5""",SATA 6.0 Gb/s,,240.0
Silicon Power P34A60,3.5,18.98,128 GB,0.148,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,128.0
ADATA LEGEND 860,,138.05,2 TB,0.069,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,2000.0
Western Digital Red Pro,4.5,344.99,16 TB,0.022,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,0.256,16000.0
Kingston A2000,4.5,,500 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,500.0
Orico D10,,14.99,128 GB,0.117,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,128.0
Western Digital Blue,4.0,53.99,1 TB,0.054,5400 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,0.064,1000.0
Samsung 960 Evo,4.5,87.95,250 GB,0.352,SSD,512 MB,M.2-2280,M.2 PCIe 3.0 X4,0.512,250.0
FanXiang S880,,123.49,2 TB,0.062,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,2000.0
Inland TN470,5.0,69.98,1 TB,0.07,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,1000.0
SanDisk SSD PLUS,4.0,24.99,240 GB,0.104,SSD,,"2.5""",SATA 6.0 Gb/s,,240.0
Corsair MP600 PRO LPX,4.5,169.99,2 TB,0.085,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,2000.0
Gigabyte AORUS Gen5 14000,,,4 TB,,SSD,8192 MB,M.2-2280,M.2 PCIe 5.0 X4,8.192,4000.0
TEAMGROUP T-Force GC PRO,5.0,199.99,2 TB,0.1,SSD,,M.2-2280,M.2 PCIe 5.0 X4,,2000.0
MSI SPATIUM M450,5.0,64.42,500 GB,0.129,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,500.0
Toshiba MQ01ABD050,3.5,18.98,500 GB,0.038,5400 RPM,8 MB,"2.5""",SATA 3.0 Gb/s,0.008,500.0
Seagate Exos X14,4.0,209.48,12 TB,0.017,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,0.256,12000.0
Klevv CRAS C930,,125.99,2 TB,0.063,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,2000.0
ADATA SU630,4.0,26.61,240 GB,0.111,SSD,,"2.5""",SATA 6.0 Gb/s,,240.0
Western Digital Blue SN550,4.5,,500 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,500.0
Samsung 870 Evo,4.5,58.74,250 GB,0.235,SSD,512 MB,"2.5""",SATA 6.0 Gb/s,0.512,250.0
PNY CS900,5.0,99.99,2 TB,0.05,SSD,,"2.5""",SATA 6.0 Gb/s,,2000.0
Acer Predator GM7000,5.0,,512 GB,,SSD,512 MB,M.2-2280,M.2 PCIe 4.0 X4,0.512,512.0
TEAMGROUP T-Force Vulcan Z,5.0,22.49,256 GB,0.088,SSD,,"2.5""",SATA 6.0 Gb/s,,256.0
Samsung 870 QVO,5.0,399.0,4 TB,0.1,SSD,,"2.5""",SATA 6.0 Gb/s,,4000.0
Intel 670p,4.5,97.2,1 TB,0.097,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,1000.0
Seagate FireCuda,4.0,157.99,2 TB,0.079,Hybrid,,"2.5""",SATA 6.0 Gb/s,,2000.0
Silicon Power P34A60,5.0,57.99,1 TB,0.058,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,1000.0
Kingston Fury Renegade,4.0,62.99,500 GB,0.126,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,500.0
TEAMGROUP MP44,4.0,69.98,1 TB,0.07,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,1000.0
Western Digital Black SN750,4.5,114.99,500 GB,0.23,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,500.0
