title,rating,price,capacity,price_per_gb,type,cache,form_factor,interface,cache_gb,capacity_gb
Samsung Spinpoint F1 EG,,,250 GB,,5400 RPM,16 MB,"3.5""",SATA 3.0 Gb/s,0.016,250.0
Samsung Spinpoint F1 EG,,,750 GB,,5400 RPM,32 MB,"3.5""",SATA 3.0 Gb/s,0.032,750.0
Samsung Spinpoint F1 EG,,,640 GB,,5400 RPM,16 MB,"3.5""",SATA 3.0 Gb/s,0.016,640.0
Samsung Spinpoint F1 EG,,,320 GB,,5400 RPM,16 MB,"3.5""",SATA 3.0 Gb/s,0.016,320.0
Samsung Spinpoint F1 EG,,,250 GB,,5400 RPM,16 MB,"3.5""",SATA 3.0 Gb/s,0.016,250.0
Samsung Spinpoint F1 DT,,,250 GB,,7200 RPM,16 MB,"3.5""",SATA 3.0 Gb/s,0.016,250.0
Samsung Spinpoint F1 DT,,,250 GB,,7200 RPM,8 MB,"3.5""",SATA 3.0 Gb/s,0.008,250.0
Samsung Spinpoint F1 DT,,,160 GB,,7200 RPM,16 MB,"3.5""",SATA 3.0 Gb/s,0.016,160.0
Samsung Spinpoint F1 RAID,,,250 GB,,7200 RPM,16 MB,"3.5""",SATA 3.0 Gb/s,0.016,250.0
Samsung Spinpoint F1 CE,,,750 GB,,7200 RPM,32 MB,"3.5""",SATA 3.0 Gb/s,0.032,750.0
Samsung Spinpoint F1 CE,,,640 GB,,7200 RPM,16 MB,"3.5""",SATA 3.0 Gb/s,0.016,640.0
Samsung Spinpoint F1 CE,,,500 GB,,7200 RPM,16 MB,"3.5""",SATA 3.0 Gb/s,0.016,500.0
Samsung Spinpoint F1 CE,,,320 GB,,7200 RPM,8 MB,"3.5""",SATA 3.0 Gb/s,0.008,320.0
Samsung Spinpoint F1 CE,,,250 GB,,7200 RPM,8 MB,"3.5""",SATA 3.0 Gb/s,0.008,250.0
Samsung Spinpoint MP4,,,640 GB,,7200 RPM,16 MB,"2.5""",SATA 3.0 Gb/s,0.016,640.0
Samsung Spinpoint M7,,,160 GB,,5400 RPM,8 MB,"2.5""",SATA 3.0 Gb/s,0.008,160.0
Samsung Spinpoint M7,3.0,,250 GB,,5400 RPM,8 MB,"2.5""",SATA 3.0 Gb/s,0.008,250.0
Samsung Spinpoint M7,,,400 GB,,5400 RPM,8 MB,"2.5""",SATA 3.0 Gb/s,0.008,400.0
Samsung Spinpoint M7E,,,640 GB,,5400 RPM,8 MB,"2.5""",SATA 3.0 Gb/s,0.008,640.0
Samsung Spinpoint M7E,3.0,,250 GB,,5400 RPM,8 MB,"2.5""",SATA 3.0 Gb/s,0.008,250.0
Samsung Spinpoint M7E,,,160 GB,,5400 RPM,8 MB,"2.5""",SATA 3.0 Gb/s,0.008,160.0
OCZ Colossus,,,120 GB,,SSD,128 MB,"3.5""",SATA 3.0 Gb/s,0.128,120.0
OCZ Colossus LT,,,120 GB,,SSD,128 MB,"3.5""",SATA 3.0 Gb/s,0.128,120.0
OCZ Colossus LT,,,500 GB,,SSD,128 MB,"3.5""",SATA 3.0 Gb/s,0.128,500.0
OCZ Vertex 2 EX,,,50 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,50.0
OCZ Vertex 2 EX,,,200 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,200.0
OCZ Vertex 2 Pro,,,100 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,100.0
OCZ Vertex 2 Pro,,,400 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,400.0
OCZ Vertex EX,,,60 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,60.0
OCZ Vertex EX,,,120 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,120.0
OCZ Vertex Limited,,,50 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,50.0
OCZ Vertex Limited,,,100 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,100.0
OCZ Vertex Limited,,,200 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,200.0
OCZ Vertex 2,5.0,,50 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,50.0
OCZ Vertex 2,,,200 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,200.0
OCZ Vertex 2,,,400 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,400.0
OCZ Vertex 2,,,120 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,120.0
OCZ Vertex 2,,,480 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,480.0
OCZ Agility 2,5.0,,50 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,50.0
OCZ Agility 2,,,200 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,200.0
OCZ Agility 2,4.0,,120 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,120.0
OCZ Agility 2,,,240 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,240.0
OCZ Vertex Turbo,,,30 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,30.0
OCZ Vertex Turbo,,,60 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,60.0
OCZ Vertex Turbo,,,120 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,120.0
OCZ Vertex,3.0,,60 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,60.0
OCZ Vertex,,,90 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,90.0
OCZ Vertex,4.5,,120 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,120.0
OCZ Vertex,,,250 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,250.0
OCZ Agility,,,60 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,60.0
OCZ Agility,,,120 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,120.0
OCZ Agility,,,250 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,250.0
OCZ Solid 2,,,30 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,30.0
OCZ Solid 2,,,60 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,60.0
OCZ Solid 2,,,120 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,120.0
OCZ Onyx,5.0,,32 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,32.0
OCZ Onyx,4.0,,64 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,64.0
Hitachi Deskstar,3.0,,1 TB,,7200 RPM,32 MB,"3.5""",SATA 3.0 Gb/s,0.032,1000.0
Samsung Spinpoint M5,,29.0,160 GB,0.181,5400 RPM,8 MB,"2.5""",PATA 44-Pin 100,0.008,160.0
Western Digital Caviar Green,4.0,,2 TB,,5400 RPM,32 MB,"3.5""",SATA 3.0 Gb/s,0.032,2000.0
Seagate Barracuda ES.2,4.0,116.0,750 GB,0.155,7200 RPM,32 MB,"3.5""",SATA 3.0 Gb/s,0.032,750.0
Western Digital Caviar Blue,5.0,,250 GB,,7200 RPM,8 MB,"3.5""",PATA 100,0.008,250.0
Western Digital VelociRaptor,,,300 GB,,10000 RPM,16 MB,"3.5""",SATA 3.0 Gb/s,0.016,300.0
Western Digital Caviar Blue,,,160 GB,,7200 RPM,8 MB,"3.5""",PATA 100,0.008,160.0
Western Digital AV,,,500 GB,,7200 RPM,8 MB,"3.5""",PATA 100,0.008,500.0
OCZ Vertex 2,,,40 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,40.0
OCZ Vertex 2,4.5,,90 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,90.0
OCZ Vertex 2,,,180 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,180.0
Seagate SV35.5,,,1 TB,,7200 RPM,32 MB,"3.5""",SATA 3.0 Gb/s,0.032,1000.0
Seagate BarraCuda,4.0,,160 GB,,7200 RPM,8 MB,"3.5""",SATA 3.0 Gb/s,0.008,160.0
Seagate Pipeline HD,,,160 GB,,5900 RPM,8 MB,"3.5""",SATA 3.0 Gb/s,0.008,160.0
Seagate Pipeline HD,,,160 GB,,5900 RPM,8 MB,"3.5""",SATA 3.0 Gb/s,0.008,160.0
Seagate BarraCuda,,,160 GB,,7200 RPM,8 MB,"3.5""",SATA 3.0 Gb/s,0.008,160.0
Western Digital AV-GP,5.0,,1.5 TB,,5400 RPM,64 MB,"3.5""",SATA 3.0 Gb/s,0.064,1500.0
Western Digital RE4-GP,,,1.5 TB,,5400 RPM,64 MB,"3.5""",SATA 3.0 Gb/s,0.064,1500.0
Samsung Spinpoint F4,,,320 GB,,7200 RPM,16 MB,"3.5""",SATA 3.0 Gb/s,0.016,320.0
Western Digital Caviar Blue,4.0,79.0,750 GB,0.105,7200 RPM,32 MB,"3.5""",SATA 6.0 Gb/s,0.032,750.0
Western Digital VelociRaptor,,,600 GB,,10000 RPM,32 MB,"3.5""",SATA 6.0 Gb/s,0.032,600.0
Kingston SSDNow E,,,64 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,64.0
Kingston SSDNow V,,,30 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,30.0
Kingston SSDNow V,,,128 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,128.0
Kingston SSDNow V+,,,64 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,64.0
Kingston SSDNow V+,5.0,,64 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,64.0
Kingston SSDNow V100,,,128 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,128.0
Kingston SSDNow V100,,,64 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,64.0
Kingston SSDNow V100,,,128 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,128.0
Kingston SSDNow V100,,,256 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,256.0
Kingston SSDNow V100,,,64 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,64.0
Kingston SSDNow V+ 100E,,,64 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,64.0
Intel X25-M,,,160 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,160.0
Crucial RealSSD C300,3.5,,64 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,64.0
Crucial RealSSD C300,,,64 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,64.0
Crucial RealSSD C300,,,128 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,128.0
Crucial RealSSD C300,,,256 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,256.0
OCZ Vertex 2,,,160 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,160.0
OCZ Vertex 2,4.0,,120 GB,,SSD,,"3.5""",SATA 3.0 Gb/s,,120.0
OCZ Vertex 2,,,180 GB,,SSD,,"3.5""",SATA 3.0 Gb/s,,180.0
OCZ Agility 2,,,160 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,160.0
OCZ Agility 2,3.0,,40 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,40.0
OCZ Agility 2,,,80 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,80.0
OCZ Agility 2,,,180 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,180.0
OCZ Agility 2,,,90 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,90.0
OCZ Agility 2,,,120 GB,,SSD,,"3.5""",SATA 3.0 Gb/s,,120.0
ADATA S599,5.0,,40 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,40.0
ADATA S599,,,64 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,64.0
Corsair Force,,,120 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,120.0
Corsair Force,,,160 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,160.0
Corsair Force,,,180 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,180.0
Corsair Force,,,240 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,240.0
Corsair Force,,,60 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,60.0
Corsair Force,,,90 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,90.0
Corsair Nova,4.0,,64 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,64.0
G.Skill Phoenix,,,60 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,60.0
G.Skill Sniper Gaming,,,120 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,120.0
G.Skill Sniper Gaming,,,60 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,60.0
G.Skill Phoenix Pro,,,240 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,240.0
G.Skill Phoenix Pro,,,60 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,60.0
G.Skill Phoenix,,,120 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,120.0
OCZ Onyx 2,,,240 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,240.0
Mushkin Callisto Deluxe,,,240 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,240.0
Patriot Inferno,,,60 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,60.0
Mushkin Callisto Deluxe,,,60 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,60.0
Mushkin Callisto Deluxe,,,40 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,40.0
Samsung 470,,,128 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,128.0
Samsung 470,,,64 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,64.0
Hitachi A7K1000,,,500 GB,,7200 RPM,32 MB,"3.5""",SATA 3.0 Gb/s,0.032,500.0
Hitachi 7K1000.C,,,250 GB,,7200 RPM,8 MB,"3.5""",SATA 3.0 Gb/s,0.008,250.0
Hitachi 0F10381,4.0,,500 GB,,7200 RPM,16 MB,"3.5""",SATA 3.0 Gb/s,0.016,500.0
Hitachi 7K1000.C,,46.69,320 GB,,7200 RPM,16 MB,"3.5""",SATA 3.0 Gb/s,0.016,320.0
Hitachi 7K500,,,160 GB,,7200 RPM,16 MB,"2.5""",SATA 3.0 Gb/s,0.016,160.0
Hitachi E5K500.B,,,160 GB,,5400 RPM,8 MB,"2.5""",SATA 3.0 Gb/s,0.008,160.0
Western Digital RE4,4.0,,250 GB,,7200 RPM,64 MB,"3.5""",SATA 3.0 Gb/s,0.064,250.0
Western Digital RE2,,,500 GB,,7200 RPM,16 MB,"3.5""",SATA 3.0 Gb/s,0.016,500.0
Western Digital VelociRaptor,,,300 GB,,10000 RPM,16 MB,"3.5""",SATA 3.0 Gb/s,0.016,300.0
Hitachi 7K1000.C,,,160 GB,,7200 RPM,8 MB,"3.5""",SATA 3.0 Gb/s,0.008,160.0
OCZ Vertex 2,,,320 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,320.0
Zalman N,,,128 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,128.0
Zalman N,,,64 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,64.0
OCZ Agility 2,,,320 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,320.0
Patriot Inferno,,,240 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,240.0
Patriot Torqx TRB,,,32 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,32.0
Patriot Torqx TRB,,,64 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,64.0
Kingston SSDNow V+100,,,64 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,64.0
Kingston SSDNow V+100,,,256 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,256.0
Kingston SSDNow V+100,,,96 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,96.0
OCZ Agility 2,,,180 GB,,SSD,,"3.5""",SATA 3.0 Gb/s,,180.0
Seagate SV35,3.0,,500 GB,,7200 RPM,16 MB,"3.5""",SATA 6.0 Gb/s,0.016,500.0
Seagate SV35,,,1 TB,,7200 RPM,32 MB,"3.5""",SATA 6.0 Gb/s,0.032,1000.0
Western Digital Caviar GP,,,320 GB,,5400 RPM,16 MB,"3.5""",SATA 3.0 Gb/s,0.016,320.0
Hitachi Deskstar,4.0,,3 TB,,7200 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,0.064,3000.0
OCZ Vertex 2,5.0,,120 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,120.0
Mushkin Callisto Deluxe,,,120 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,120.0
Corsair Force,,,80 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,80.0
OCZ Agility 2,,,240 GB,,SSD,,"3.5""",SATA 3.0 Gb/s,,240.0
OCZ Vertex 2,,,60 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,60.0
Kingston SSDNow V+100,,,256 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,256.0
Western Digital Caviar Black,4.0,,1.5 TB,,7200 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,0.064,1500.0
Mushkin Callisto Deluxe,,,180 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,180.0
Corsair Force,,,60 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,60.0
ADATA S599,,,128 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,128.0
ADATA S599,,,64 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,64.0
Hitachi H3IK30003254SW,,,3 TB,,5400 RPM,32 MB,"3.5""",SATA 6.0 Gb/s,0.032,3000.0
Western Digital Caviar Green,3.0,,3 TB,,5400 RPM,64 MB,"3.5""",SATA 3.0 Gb/s,0.064,3000.0
Intel 320,,,160 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,160.0
Intel 320,,,80 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,80.0
Intel 320,4.0,,120 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,120.0
G.Skill Phoenix Evo,,,115 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,115.0
OCZ Vertex 3,,,480 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,480.0
Corsair Force,,,180 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,180.0
Crucial M4,5.0,,64 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,64.0
Mushkin Callisto DX2,,,80 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,80.0
Mushkin Callisto DX2,,,115 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,115.0
Mushkin Callisto DX2,,,240 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,240.0
OCZ Vertex 3 Series \xe2\x80\x93 MAX IOPS Edition,5.0,,120 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,120.0
Patriot Torqx 2,,,256 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,256.0
Patriot Torqx 2,,,128 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,128.0
Patriot Torqx 2,,,64 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,64.0
Patriot Torqx 2,5.0,,32 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,32.0
Wintec FileMate,,,32 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,32.0
Corsair Force,,,40 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,40.0
Western Digital Caviar Blue,,,750 GB,,7200 RPM,32 MB,"3.5""",SATA 6.0 Gb/s,0.032,750.0
Hitachi Deskstar,,,3 TB,,5400 RPM,32 MB,"3.5""",SATA 3.0 Gb/s,0.032,3000.0
Hitachi Travelstar 5K500.B,,43.72,160 GB,,5400 RPM,8 MB,"2.5""",SATA 3.0 Gb/s,0.008,160.0
Seagate Momentus 7200 FDE.2,,,500 GB,,7200 RPM,16 MB,"2.5""",SATA 3.0 Gb/s,0.016,500.0
Hitachi 0Y30055,,70.09,500 GB,0.14,5400 RPM,8 MB,"2.5""",SATA 3.0 Gb/s,0.008,500.0
Seagate Momentus,3.0,,320 GB,,7200 RPM,16 MB,"2.5""",SATA 3.0 Gb/s,0.016,320.0
Seagate Momentus 7200 FDE.2,,,250 GB,,7200 RPM,16 MB,"2.5""",SATA 3.0 Gb/s,0.016,250.0
Hitachi 0Y30051,4.0,49.69,160 GB,,5400 RPM,8 MB,"2.5""",SATA 3.0 Gb/s,0.008,160.0
Seagate Momentus 7200.4,4.0,,160 GB,,7200 RPM,16 MB,"2.5""",SATA 3.0 Gb/s,0.016,160.0
Hitachi Travelstar Z7K320,,57.63,250 GB,0.231,7200 RPM,16 MB,"2.5""",SATA 3.0 Gb/s,0.016,250.0
Seagate Momentus XT,,,500 GB,,7200 RPM,32 MB,"2.5""",SATA 3.0 Gb/s,0.032,500.0
Hitachi Travelstar Z5K320,,,320 GB,,5400 RPM,8 MB,"2.5""",SATA 3.0 Gb/s,0.008,320.0
Seagate Momentus 7200.4,5.0,,250 GB,,7200 RPM,16 MB,"2.5""",SATA 3.0 Gb/s,0.016,250.0
Seagate ST90250N1A1AS-RK,,,250 GB,,5400 RPM,8 MB,"2.5""",SATA 3.0 Gb/s,0.008,250.0
Seagate Momentus 7200.4,3.0,,320 GB,,7200 RPM,16 MB,"2.5""",SATA 3.0 Gb/s,0.016,320.0
Crucial M4,,,512 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,512.0
Wintec N1,,,128 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,128.0
OCZ Solid 3,5.0,,120 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,120.0
OCZ V3LT-25SAT3-240G,,,240 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,240.0
Intel 320,,,80 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,80.0
OCZ Solid 3,,,60 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,60.0
Hitachi Travelstar 7K500,,57.32,250 GB,,7200 RPM,16 MB,"2.5""",SATA 3.0 Gb/s,0.016,250.0
ADATA S592,,,64 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,64.0
Hitachi Travelstar 5K500.B,,63.35,320 GB,,5400 RPM,8 MB,"2.5""",SATA 3.0 Gb/s,0.008,320.0
Intel 320,,,160 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,160.0
Intel 320,,,600 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,600.0
OCZ Vertex 2,,,60 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,60.0
Samsung Spinpoint M8,,,500 GB,,5400 RPM,8 MB,"2.5""",SATA 3.0 Gb/s,0.008,500.0
Corsair Force 3,5.0,,240 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,240.0
Western Digital Scorpio Blue,,,320 GB,,5400 RPM,8 MB,"2.5""",PATA 44-Pin 100,0.008,320.0
OCZ Vertex 3,4.0,,60 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,60.0
Patriot Wildfire,,,240 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,240.0
Patriot Wildfire,,,120 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,120.0
Corsair Nova Series 2,,,60 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,60.0
Plextor PX-M2,,,64 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,64.0
Toshiba MK1656GSY,,,160 GB,,7200 RPM,16 MB,"2.5""",SATA 3.0 Gb/s,0.016,160.0
Toshiba MK3265GSX,,,320 GB,,5400 RPM,8 MB,"2.5""",SATA 3.0 Gb/s,0.008,320.0
Hitachi Travelstar,,,500 GB,,7200 RPM,16 MB,"2.5""",SATA 3.0 Gb/s,0.016,500.0
Kingston SSDNow V+100,,,96 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,96.0
Corsair Force 3,4.5,,60 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,60.0
Seagate Momentus,5.0,,750 GB,,5400 RPM,16 MB,"2.5""",SATA 3.0 Gb/s,0.016,750.0
Mushkin Chronos Deluxe,5.0,,120 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,120.0
Samsung 470,,,64 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,64.0
Samsung 470,,,64 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,64.0
Samsung Spinpoint M8,,,160 GB,,5400 RPM,8 MB,"2.5""",SATA 3.0 Gb/s,0.008,160.0
Kingston HyperX,3.5,,240 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,240.0
Samsung 470,,,128 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,128.0
Samsung 470,,,256 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,256.0
Kingston HyperX,4.0,,120 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,120.0
Kingston SSDNow V+100,,,96 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,96.0
Kingston SSDNow V+100,,,96 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,96.0
Western Digital AV-25,,,250 GB,,5400 RPM,32 MB,"2.5""",SATA 3.0 Gb/s,0.032,250.0
OCZ Vertex Plus,,,120 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,120.0
Patriot Pyro,4.5,,120 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,120.0
Hitachi Travelstar 5K500.B,,,320 GB,,5400 RPM,8 MB,"2.5""",SATA 3.0 Gb/s,0.008,320.0
Hitachi Travelstar 7K750,,,750 GB,,7200 RPM,16 MB,"2.5""",SATA 3.0 Gb/s,0.016,750.0
Western Digital Caviar Green,,,750 GB,,5400 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,0.064,750.0
Hitachi Travelstar Z5K320,4.0,,160 GB,,5400 RPM,8 MB,"2.5""",SATA 3.0 Gb/s,0.008,160.0
OCZ Vertex Plus,3.0,,60 GB,,SSD,64 MB,"2.5""",SATA 3.0 Gb/s,0.064,60.0
Patriot Pyro,,,240 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,240.0
Mushkin Chronos,4.5,,120 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,120.0
Mushkin Chronos,5.0,,60 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,60.0
ADATA S501 V2,,,256 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,256.0
ADATA S501 V2,,,128 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,128.0
Corsair Force GT,3.0,,180 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,180.0
OCZ Colossus Plus,,,120 GB,,SSD,128 MB,"3.5""",SATA 3.0 Gb/s,0.128,120.0
OCZ Colossus Plus,,,240 GB,,SSD,128 MB,"3.5""",SATA 3.0 Gb/s,0.128,240.0
Corsair Force 3,4.0,,120 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,120.0
Hitachi Deskstar,4.0,,2 TB,,7200 RPM,32 MB,"3.5""",SATA 3.0 Gb/s,0.032,2000.0
Seagate Momentus 5400.6,,,320 GB,,5400 RPM,8 MB,"2.5""",SATA 3.0 Gb/s,0.008,320.0
Intel 320,,,120 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,120.0
ADATA S510,4.5,,120 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,120.0
OCZ Colossus 2,,,960 GB,,SSD,,"3.5""",SATA 3.0 Gb/s,,960.0
Mushkin Chronos Deluxe,5.0,,60 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,60.0
Corsair Force 3,,,90 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,90.0
Hitachi 0J11562,4.0,75.56,640 GB,,5400 RPM,8 MB,"2.5""",SATA 3.0 Gb/s,0.008,640.0
Toshiba MK6461GSYN,,,640 GB,,7200 RPM,16 MB,"2.5""",SATA 3.0 Gb/s,0.016,640.0
OCZ Synapse Cache,,,128 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,128.0
Kingston SSDNow V+200,,,60 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,60.0
