title,rating,price,capacity,price_per_gb,type,cache,form_factor,interface
Western Digital Red Pro,None,$499.99,24 TB,$0.021,7200 RPM,512 MB,"3.5""",SATA 6.0 Gb/s
KIOXIA EXCERIA PLUS G3,4.0,None,2 TB,None,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue SN570,4.5,$122.00,1 TB,$0.122,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Western Digital WD_Black SN850X w/Heatsink,5.0,$179.99,2 TB,$0.090,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue SN550,4.5,$145.99,1 TB,$0.146,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Seagate SkyHawk AI,None,$439.99,24 TB,$0.018,7200 RPM,512 MB,"3.5""",SATA 6.0 Gb/s
Crucial MX500,4.5,$86.80,500 GB,$0.174,SSD,512 MB,"2.5""",SATA 6.0 Gb/s
Crucial BX500,4.0,$23.47,240 GB,$0.098,SSD,None,"2.5""",SATA 6.0 Gb/s
TEAMGROUP MP33,4.0,$26.99,256 GB,$0.105,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Seagate Exos X18,4.5,$329.99,18 TB,$0.018,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s
Crucial BX500,None,$227.98,4 TB,$0.057,SSD,None,"2.5""",SATA 6.0 Gb/s
Western Digital Red Plus,5.0,$172.00,8 TB,$0.021,5640 RPM,256 MB,"3.5""",SATA 6.0 Gb/s
Samsung 850 Evo,4.5,None,500 GB,None,SSD,None,"2.5""",SATA 6.0 Gb/s
Silicon Power A55,4.5,$32.95,512 GB,$0.064,SSD,None,"2.5""",SATA 6.0 Gb/s
Western Digital Red Plus,None,$199.99,10 TB,$0.020,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s
KingSpec P3,3.5,$49.99,1 TB,$0.050,SSD,None,"2.5""",SATA 6.0 Gb/s
Corsair MP700 PRO SE,None,$549.99,4 TB,$0.137,SSD,None,M.2-2280,M.2 PCIe 5.0 X4
Kingston NV3,None,$244.70,4 TB,$0.061,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Timetec 35TTQNM2SATA,None,$48.99,1 TB,$0.049,SSD,None,M.2-2280,M.2 SATA
ADATA XPG GAMMIX S70 Blade,4.5,$79.98,1 TB,$0.080,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
PNY CS2150,5.0,$94.99,1 TB,$0.095,SSD,None,M.2-2280,M.2 PCIe 5.0 X4
Seagate Exos X20,None,$339.00,20 TB,$0.017,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s
Western Digital Black SN750,4.5,$102.99,1 TB,$0.103,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Kingston KC3000,None,$299.75,4.096 TB,$0.073,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
ADATA XPG GAMMIX S70 Blade,4.5,$129.99,2 TB,$0.065,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Lexar NQ790,5.0,None,2 TB,None,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Lexar NM710,5.0,$149.00,2 TB,$0.074,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Seagate BarraCuda,4.5,$75.37,3 TB,$0.025,7200 RPM,64 MB,"3.5""",SATA 6.0 Gb/s
Corsair MP600 ELITE,5.0,$149.99,2 TB,$0.075,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue,4.5,$66.98,500 GB,$0.134,SSD,None,"2.5""",SATA 6.0 Gb/s
Kingston KC3000,5.0,$64.89,512 GB,$0.127,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
